run_id,condition,scenario,log_path,m1_t5_accuracy,m1_t5_hits,m1_t5_total,contamination_rate,avg_context_tokens,n_oif_queries_fired,n_steering_responses
oif1_n3_dacs_no_oif_t07_3a3c10,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t07_3a3c10.jsonl,0.6666666666666666,2,3,1.0,549,0,8
oif1_n3_dacs_no_oif_t08_0fbbbe,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t08_0fbbbe.jsonl,0.3333333333333333,1,3,0.7777777777777778,655,0,9
oif1_n3_dacs_no_oif_t09_560174,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t09_560174.jsonl,0.3333333333333333,1,3,0.5555555555555556,637.4444444444445,0,9
oif1_n3_dacs_no_oif_t10_1504c1,dacs_no_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_no_oif_t10_1504c1.jsonl,0.3333333333333333,1,3,0.6666666666666666,640.1111111111111,0,9
oif1_n3_dacs_oif_t01_eca02f,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t01_eca02f.jsonl,1.0,3,3,0.4444444444444444,683.3333333333334,3,9
oif1_n3_dacs_oif_t02_209ce6,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t02_209ce6.jsonl,1.0,3,3,0.6666666666666666,743.4166666666666,3,9
oif1_n3_dacs_oif_t03_a49337,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t03_a49337.jsonl,1.0,3,3,0.6666666666666666,693.0833333333334,3,9
oif1_n3_dacs_oif_t04_b0652c,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t04_b0652c.jsonl,1.0,3,3,0.6666666666666666,719.1666666666666,3,9
oif1_n3_dacs_oif_t05_36c240,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t05_36c240.jsonl,1.0,3,3,0.8888888888888888,698.4166666666666,3,9
oif1_n3_dacs_oif_t06_0be41c,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t06_0be41c.jsonl,1.0,3,3,0.5555555555555556,542.5833333333334,3,9
oif1_n3_dacs_oif_t07_82c404,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t07_82c404.jsonl,1.0,3,3,0.5555555555555556,703.25,3,9
oif1_n3_dacs_oif_t08_34d042,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t08_34d042.jsonl,1.0,3,3,0.6666666666666666,666.1666666666666,3,9
oif1_n3_dacs_oif_t09_c1e3b0,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t09_c1e3b0.jsonl,1.0,3,3,0.4444444444444444,588.9166666666666,3,9
oif1_n3_dacs_oif_t10_f0f7ac,dacs_oif,oif1_n3,/Users/nickson/Documents/GitHub/agent-focus-mode/results_oif/oif1_n3_dacs_oif_t10_f0f7ac.jsonl,1.0,3,3,0.6666666666666666,712.6666666666666,3,9
