run_id,batch_id,condition,n_agents,trial,contamination_rate,avg_context_tokens,p95_context_tokens,n_steering_responses
gaia_b03_n3_baseline_t02_44c7be,gaia_b03_n3,baseline,3,2,1.0,278,333,3
gaia_b03_n3_baseline_t04_eb20fa,gaia_b03_n3,baseline,3,4,1.0,271.3333333333333,332,3
gaia_b03_n3_baseline_t05_9d1cbf,gaia_b03_n3,baseline,3,5,1.0,281.6666666666667,329,3
gaia_b03_n3_baseline_t03_011438,gaia_b03_n3,baseline,3,3,1.0,268.6666666666667,317,3
gaia_b03_n3_baseline_t04_e3738e,gaia_b03_n3,baseline,3,4,1.0,274,327,3
gaia_b04_n3_dacs_t01_2cc274,gaia_b04_n3,dacs,3,1,0.6666666666666666,228,245,3
gaia_b04_n3_dacs_t02_5580c2,gaia_b04_n3,dacs,3,2,0.6666666666666666,222.33333333333334,245,3
gaia_b04_n3_dacs_t01_d78c45,gaia_b04_n3,dacs,3,1,1.0,214.66666666666666,272,3
gaia_b03_n3_baseline_t05_c2055c,gaia_b03_n3,baseline,3,5,1.0,271.3333333333333,325,3
gaia_b04_n3_dacs_t03_ac6274,gaia_b04_n3,dacs,3,3,1.0,258.3333333333333,310,3
gaia_b04_n3_dacs_t04_fe7977,gaia_b04_n3,dacs,3,4,1.0,200.33333333333334,234,3
gaia_b04_n3_dacs_t03_008bc2,gaia_b04_n3,dacs,3,3,1.0,217.33333333333334,240,3
gaia_b04_n3_dacs_t02_94142a,gaia_b04_n3,dacs,3,2,0.6666666666666666,213,259,3
gaia_b04_n3_dacs_t05_2b1bdd,gaia_b04_n3,dacs,3,5,0.6666666666666666,229.33333333333334,273,3
gaia_b04_n3_dacs_t04_6eb7ea,gaia_b04_n3,dacs,3,4,1.0,213.33333333333334,256,3
gaia_b04_n3_dacs_t05_fd9866,gaia_b04_n3,dacs,3,5,1.0,241.33333333333334,246,3
gaia_b04_n3_baseline_t01_5ba969,gaia_b04_n3,baseline,3,1,1.0,307.6666666666667,398,3
gaia_b04_n3_baseline_t02_9ebb39,gaia_b04_n3,baseline,3,2,1.0,275.6666666666667,352,3
gaia_b04_n3_baseline_t01_799df7,gaia_b04_n3,baseline,3,1,1.0,334,383,3
gaia_b04_n3_baseline_t03_e07c73,gaia_b04_n3,baseline,3,3,1.0,319,402,3
